ENSG00000000003	2127
ENSG00000000005	1290
ENSG00000000419	1026
ENSG00000000457	6160
ENSG00000000460	4306
ENSG00000000938	2680
ENSG00000000971	3212
ENSG00000001036	2307
ENSG00000001084	3764
ENSG00000001167	3762
ENSG00000001460	2495
ENSG00000001461	5390
ENSG00000001497	2212
ENSG00000001561	4602
ENSG00000001617	3753
ENSG00000001626	6083
ENSG00000001629	6032
ENSG00000001630	2932
ENSG00000001631	4078
ENSG00000002016	2661
ENSG00000002330	880
ENSG00000002549	2164
ENSG00000002586	1196
ENSG00000002587	7862
ENSG00000002726	2600
ENSG00000002745	3098
ENSG00000002746	9338
ENSG00000002822	2713
ENSG00000002834	4060
ENSG00000002919	2684
ENSG00000002933	1212
ENSG00000003056	2707
ENSG00000003096	3140
ENSG00000003137	4683
ENSG00000003147	2409
ENSG00000003249	2030
ENSG00000003393	6595
ENSG00000003400	5593
ENSG00000003402	12611
ENSG00000003436	3595
ENSG00000003509	1982
ENSG00000003756	3139
ENSG00000003987	3801
ENSG00000003989	7572
ENSG00000004059	1054
ENSG00000004139	10232
ENSG00000004142	2072
ENSG00000004399	7045
ENSG00000004455	972
ENSG00000004468	5548
ENSG00000004478	3683
ENSG00000004487	2984
ENSG00000004534	3701
ENSG00000004660	3459
ENSG00000004700	3261
ENSG00000004766	1144
ENSG00000004776	514
ENSG00000004777	4170
ENSG00000004779	668
ENSG00000004799	3527
ENSG00000004809	1938
ENSG00000004838	2749
ENSG00000004846	2857
ENSG00000004848	2827
ENSG00000004864	3087
ENSG00000004866	2093
ENSG00000004897	5752
ENSG00000004939	4762
ENSG00000004948	3577
ENSG00000004961	2228
ENSG00000004975	2968
ENSG00000005001	1337
ENSG00000005007	5299
ENSG00000005020	3899
ENSG00000005022	1223
ENSG00000005059	2229
ENSG00000005073	2246
ENSG00000005075	579
ENSG00000005100	5487
ENSG00000005102	2658
ENSG00000005108	10614
ENSG00000005156	7912
ENSG00000005175	4321
ENSG00000005187	2796
ENSG00000005189	2673
ENSG00000005194	2133
ENSG00000005206	968
ENSG00000005238	5722
ENSG00000005243	846
ENSG00000005249	3696
ENSG00000005302	3395
ENSG00000005339	10742
ENSG00000005379	7434
ENSG00000005381	3064
ENSG00000005421	2495
ENSG00000005436	4370
ENSG00000005448	1098
ENSG00000005469	3120
ENSG00000005471	3534
ENSG00000005483	6825
ENSG00000005486	1753
ENSG00000005513	2989
ENSG00000005700	6005
ENSG00000005801	2052
ENSG00000005810	14615
ENSG00000005812	3454
ENSG00000005844	5014
ENSG00000005882	3391
ENSG00000005884	4839
ENSG00000005889	6311
ENSG00000005893	1818
ENSG00000005961	3284
ENSG00000005981	3746
ENSG00000006007	2893
ENSG00000006015	790
ENSG00000006016	1743
ENSG00000006025	3591
ENSG00000006042	4327
ENSG00000006047	1541
ENSG00000006059	312
ENSG00000006062	4411
ENSG00000006071	4872
ENSG00000006116	3039
ENSG00000006118	3297
ENSG00000006125	2493
ENSG00000006128	1190
ENSG00000006194	3781
ENSG00000006210	3272
ENSG00000006282	2670
ENSG00000006283	7650
ENSG00000006327	984
ENSG00000006377	2225
ENSG00000006432	10908
ENSG00000006451	2831
ENSG00000006453	3552
ENSG00000006459	9223
ENSG00000006468	6691
ENSG00000006530	3800
ENSG00000006534	2166
ENSG00000006555	2100
ENSG00000006576	3476
ENSG00000006606	477
ENSG00000006607	4002
ENSG00000006611	2188
ENSG00000006625	1124
ENSG00000006634	3812
ENSG00000006638	2287
ENSG00000006652	1785
ENSG00000006659	674
ENSG00000006695	2824
ENSG00000006704	3381
ENSG00000006712	2017
ENSG00000006715	5726
ENSG00000006740	4162
ENSG00000006744	3099
ENSG00000006747	8823
